id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_imunisasi,jumlah_bayi,jumlah_desa_kelurahan,jumlah_desa_kelurahan_uci,jumlah_faskes,jumlah_nakes,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,106221,115122,435,392,130,216,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,39340,41442,386,386,65,92,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,36562,39275,360,353,49,94,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,63568,69927,280,221,70,108,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,45165,47638,442,365,73,95,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,29274,26465,351,317,42,73,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17229,16329,265,250,42,82,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18317,17242,376,361,48,62,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,47239,36757,424,369,71,105,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19431,18274,343,341,36,45,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18527,17357,277,277,38,65,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,26320,26667,317,303,60,154,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,31085,23678,253,242,48,61,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16811,17568,192,191,30,16,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,42154,41270,309,300,71,46,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,75853,78202,187,187,94,22,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25645,29477,165,156,40,90,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5274,5617,93,87,15,46,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,18553,19414,68,66,46,99,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,4954,5741,33,23,21,31,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,42847,41060,151,151,115,175,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,4730,5408,22,22,33,37,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,49765,53159,56,52,88,105,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,42802,45018,63,63,59,65,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,10088,10777,15,15,20,78,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10774,11166,69,69,33,20,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,4791,2966,25,25,13,17,2019
